 ,gas,electricity,heat_demand
233,0.89691,1.61153,1.41694356
234,0.89691,1.63424,1.49725437
235,0.89691,1.54087,1.12685762
236,0.89691,1.45753,1.13481406
237,0.89691,1.39755,1.04788682
238,0.89691,1.30485,1.02062171
239,0.89691,1.22418,1.1123327
240,0.88197,1.13589,1.16507818
241,0.88197,1.11906,1.15189181
242,0.88197,1.10784,1.18485774
243,0.88197,1.08206,1.30249132
244,0.88197,1.11452,1.26630079
245,0.88197,1.11745,1.21782367
246,0.88197,1.18197,1.21782367
247,0.88197,1.30539,1.25458836
248,0.88197,1.29858,1.6550711
249,0.88197,1.33731,1.6118244
250,0.88197,1.31941,1.5290371
251,0.88197,1.30632,1.52851584
252,0.88197,1.18998,1.36960367
253,0.88197,1.17542,1.28230193
254,0.88197,1.1041,1.29831743
255,0.88197,1.06055,1.44571226
256,0.88197,1.09795,1.49109075
257,0.88197,1.18491,1.45401715
258,0.88197,1.1459,1.53234033
259,0.88197,1.15405,1.01645247
260,0.88197,1.09782,1.00922991
261,0.88197,1.09702,0.98048006
262,0.88197,1.11665,0.93636323
263,0.88197,1.07738,0.94218744
264,0.88197,1.12787,0.95383585
265,0.88197,1.10971,0.92471482
266,0.88197,1.09274,0.88394538
267,0.88197,1.0699,0.88394538
268,0.88197,1.05828,0.901418
269,0.88197,1.02222,0.91889062
270,0.88197,1.07097,0.91306641
271,0.88197,1.0476,0.88381716
272,0.88197,1.05948,0.84064934
273,0.88197,1.09929,0.76836556
274,0.88197,1.0882,0.69856795
275,0.88197,1.087,0.64511083
276,0.88197,1.05855,0.60192389
277,0.88197,1.0126,0.54562586
278,0.88197,1.00125,0.53336237
279,0.88197,0.93807,0.76668087
280,0.88197,0.9756,0.82669414
281,0.88197,1.0878,0.84416676
282,0.88197,1.11518,0.82277168
283,0.88197,1.03184,0.89546557
284,0.88197,1.00646,0.91293819
285,0.88197,0.90107,0.89546557
286,0.88197,1.03384,0.94218744
287,0.88197,0.90948,0.93636323
288,0.87084,0.80877,0.95966005
289,0.87084,0.66251,0.95383585
290,0.87084,0.7508,0.92471482
291,0.87084,0.81091,0.97130846
292,0.87084,0.80744,0.95966005
293,0.87084,0.76416,1.00763105
294,0.87084,0.77471,1.00113571
295,0.87084,0.79261,0.95374272
296,0.87084,0.81318,0.80744783
297,0.87084,0.83148,0.6612568
298,0.87084,0.84818,0.59132656
299,0.87084,0.90842,0.55521471
300,0.87084,0.85833,0.53727528
301,0.87084,0.61042,0.5313207
302,0.87084,0.49582,0.55302029
303,0.87084,0.49675,0.71790713
304,0.87084,0.49328,0.78592471
305,0.87084,0.78473,0.84416676
306,0.87084,0.81799,0.88101373
307,0.87084,0.7094,0.98621939
308,0.87084,0.49662,1.01869605
309,0.87084,0.49248,1.01869605
310,0.87084,0.53749,1.09914633
311,0.87084,0.39964,1.1123327
312,0.84689,0.45494,1.07277359
313,0.84689,0.3366,1.158485
314,0.84689,0.29599,1.13211226
315,0.84689,0.34875,1.10573952
316,0.84689,0.4309,1.09914633
317,0.84689,0.51812,1.07936678
318,0.84689,0.9764,1.08595996
319,0.84689,1.18103,1.12716491
320,0.84689,1.18691,1.48284189
321,0.84689,1.11251,1.25511819
322,0.84689,1.16821,1.14192248
323,0.84689,1.09114,1.12342389
324,0.84689,1.04773,1.10029255
325,0.84689,1.01661,1.0182438
326,0.84689,1.05508,1.0045703
327,0.84689,1.1598,1.13846587
328,0.84689,1.17716,1.26144808
329,0.84689,1.18143,1.53764306
330,0.84689,1.17716,1.73927294
331,0.84689,1.17168,1.30189931
332,0.84689,1.15953,1.36981043
333,0.84689,1.0886,1.40421588
334,0.84689,1.0484,1.31696754
335,0.84689,0.99457,1.28801511
336,0.88513,0.96679,1.26630079
337,0.88513,0.97533,1.24458646
338,0.88513,0.96425,1.23760322
339,0.88513,0.9585,1.25182457
340,0.88513,0.90828,1.25906268
341,0.88513,0.94314,1.280777
342,0.88513,1.13001,1.280777
343,0.88513,1.21456,1.39617014
344,0.88513,1.25851,1.79169043
345,0.88513,1.27667,1.70217045
346,0.88513,1.25209,1.6738729
347,0.88513,1.23152,1.66263443
348,0.88513,1.2171,1.6616455
349,0.88513,1.20895,1.64696221
350,0.88513,1.19987,1.69856634
351,0.88513,1.19306,1.84672249
352,0.88513,1.1781,1.93237856
353,0.88513,1.21696,1.97126328
354,0.88513,1.11598,1.99553347
355,0.88513,1.06763,1.46442542
356,0.88513,1.03544,1.46442542
357,0.88513,1.03023,1.44722269
358,0.88513,1.02663,1.36039618
359,0.88513,0.92484,1.36039618
360,0.92566,0.88731,1.39658672
361,0.92566,0.88771,1.38934861
362,0.92566,0.93286,1.38211051
363,0.92566,0.92979,1.41830104
364,0.92566,0.93847,1.40382483
365,0.92566,0.94061,1.40382483
366,0.92566,1.11972,1.39658672
367,0.92566,1.2155,1.49086791
368,0.92566,1.24127,1.98443897
369,0.92566,1.2159,1.93314029
370,0.92566,1.22111,1.90999482
371,0.92566,1.23046,1.85845299
372,0.92566,1.21349,1.83001185
373,0.92566,1.20067,1.80321324
374,0.92566,1.21216,1.77069298
375,0.92566,1.21443,1.74120121
376,0.92566,1.22925,1.7104478
377,0.92566,1.2183,1.63364569
378,0.92566,1.2004,1.66644609
379,0.92566,1.17703,1.15072694
380,0.92566,1.02863,1.16663982
381,0.92566,1.02168,1.19050915
382,0.92566,1.02997,1.14529863
383,0.92566,0.90788,1.14529863
384,0.9114,0.84884,1.14529863
385,0.9114,0.83388,1.15189181
386,0.9114,0.80102,1.14529863
387,0.9114,0.81772,1.15189181
388,0.9114,0.83923,1.158485
389,0.9114,0.87168,1.13870544
390,0.9114,0.96946,1.13211226
391,0.9114,1.11184,1.19087664
392,0.9114,1.1642,1.61785085
